x,y,rob
0.35558,5.0942,0.21056
0.34455,5.1082,0.19946
0.34141,5.1048,0.19597
0.32055,5.051,0.18578
0.3201,5.0506,0.18648
0.30757,5.0253,0.17857
0.37548,5.253,0.19539
0.40192,5.4533,0.17671
0.38544,5.4147,0.16702
0.39979,5.2865,0.2083
0.52078,5.5919,0.25832
0.4248,5.093,0.26733
0.42009,5.056,0.2691
0.43478,5.0577,0.28008
0.42905,5.0383,0.27867
0.41854,5.5879,0.18059
0.41873,5.4472,0.19458
0.42868,5.2829,0.23473
0.50309,5.7769,0.27054
0.53834,5.8354,0.29323
0.54037,5.6259,0.2754
0.56263,5.762,0.31506
0.45607,5.3153,0.25008
0.54614,5.519,0.22697
0.48272,5.7021,0.24684
0.47165,5.9014,0.21143
0.47445,5.9656,0.20395
0.48021,5.9602,0.20167
0.50686,5.9804,0.16342
0.51085,5.9663,0.17112
0.53145,5.8305,0.28452
0.45523,5.9873,0.18224
0.52598,5.8007,0.28374
0.45499,5.9884,0.18186
0.54651,5.254,0.31559
0.35838,5.4503,0.13876
0.3321,5.3994,0.12864
0.35475,5.2088,0.18173
0.33663,5.0931,0.19236
0.337,5.0438,0.20504
0.36229,5.0374,0.2258
0.40934,5.4938,0.17957
0.53813,5.6919,0.2825
0.40758,5.494,0.17853
0.43035,5.3971,0.21513
0.37985,5.4251,0.16565
0.41283,5.7425,0.2054
0.32712,5.3925,0.12748
0.31405,5.3836,0.11295
0.36655,5.6896,0.15252
0.31292,5.3792,0.1125
0.33064,5.2261,0.1539
0.32399,5.2674,0.14525
0.30741,5.1636,0.14262
0.30725,5.1633,0.14293
0.30715,5.1628,0.14195
0.31473,5.5701,0.085389
0.46139,5.3505,0.24678
0.30559,5.5982,0.072087
0.31014,5.6559,0.085975
0.36116,5.8089,0.16359
0.41167,5.8428,0.18824
0.30306,5.6222,0.071467
0.30101,5.5931,0.069857
0.30036,5.5935,0.068884
0.30031,5.5935,0.068622
0.3002,5.5941,0.06864
0.34678,5.7155,0.13574
0.30012,5.6575,0.075871
0.30008,5.6576,0.075602
0.31367,5.3725,0.11522
0.31053,5.6597,0.089994
0.30742,5.738,0.099244
0.32715,5.1751,0.16091
0.30251,5.6895,0.083139
0.30176,5.6883,0.081535
0.49527,5.5062,0.24687
0.30154,5.7989,0.089501
0.39956,5.4774,0.17175
0.30176,5.6883,0.081535
0.30144,5.706,0.087418
0.31646,5.7432,0.10793
0.41123,5.1652,0.23721
0.31068,5.7533,0.10156
0.3098,5.9326,0.061558
0.30601,5.9802,0.051782
0.31902,5.4657,0.10144
0.38343,5.7723,0.17485
0.31053,5.99,0.054067
0.34035,5.3096,0.1528
0.30477,5.9843,0.047814
0.30413,5.9869,0.046442
0.34011,5.7315,0.13465
0.32069,5.9974,-0.013271
0.31976,5.9991,-0.018432
0.31976,5.9991,-0.013806
0.30518,5.9737,0.049709
0.3182,5.9981,0.060046
0.33677,5.6718,0.11497
0.32045,5.9994,0.05963
0.30186,5.8617,0.080757
0.31866,5.9997,0.05407
0.3198,5.9992,0.024885
0.31968,5.9993,-0.019675
0.31969,5.9994,0.056759
0.45899,5.9386,0.19883
0.31965,5.9996,0.05596
0.31937,5.9999,0.055117
0.47691,5.2879,0.27065
0.31113,5.9755,0.055357
0.3198,5.9996,0.055874
0.32032,5.9998,0.057483
0.31967,5.9996,0.056636
0.31978,5.9996,0.057188
0.48248,5.8599,0.24168
0.31343,5.9971,0.016202
0.31157,5.9643,0.057683
0.31277,5.9785,0.056157
0.33496,5.9597,0.0077717
0.38934,5.9922,0.054051
0.41968,5.8466,0.1956
0.30755,5.8693,0.082115
0.31311,5.9801,0.056683
0.30366,5.8897,0.070171
0.46423,5.0908,0.29561
0.33681,5.6505,0.11605
0.33518,5.9834,0.0046957
0.31301,5.99,0.057328
0.36726,5.5579,0.13768
0.46279,5.7295,0.24453
0.33032,5.9701,0.076862
0.39748,5.7256,0.18844
0.33603,5.9968,0.0046541
0.4624,5.6726,0.22989
0.33599,5.9971,0.004519
0.3262,5.9397,0.073268
0.33543,5.9988,0.0012705
0.33532,5.999,0.0011295
0.32849,5.5725,0.099752
0.33516,5.9993,0.00096658
0.33516,5.9993,0.0013473
0.33516,5.9994,0.00083218
0.33483,5.9998,-0.0011767
0.33484,5.9998,-0.0011644
0.33484,5.9999,-0.0011692
0.33485,6,-0.0011529
0.53032,5.7477,0.28927
0.33472,5.9725,0.0042857
0.33501,5.9735,0.0039087
0.32954,5.9369,0.081077
0.43111,5.5603,0.19395
0.43835,5.8586,0.20524
0.33168,5.9666,0.0010626
0.33272,5.9708,0.0031588
0.34671,5.8585,0.12759
0.35983,5.8054,0.14746
0.32308,5.9845,0.068931
0.40825,5.8564,0.17992
0.31475,5.8507,0.09465
0.50219,5.9892,0.1514
0.33348,5.9753,0.0019438
0.34146,5.9871,0.0054848
0.34124,5.9954,0.0073682
0.32013,5.9973,0.058492
0.31738,5.9185,0.071894
0.34133,5.996,0.0073716
0.30727,5.8014,0.095187
0.34135,5.9962,0.0071667
0.34512,5.5488,0.11537
0.34536,5.9984,-0.043305
0.3264,5.9805,0.066126
0.34462,5.9988,-0.044093
0.34468,5.9998,-0.044523
0.34487,5.9999,-0.044141
0.31801,5.9716,0.061937
0.35984,5.9137,0.11975
0.40279,5.9506,0.1487
0.34487,6,-0.044145
0.34487,6,-0.044135
0.34833,5.9363,0.025389
0.34552,5.9095,0.10794
0.34487,6,-0.044136
0.34006,5.9393,0.015162
0.31171,5.4404,0.091853
0.34487,6,-0.044136
0.38633,5.2885,0.19642
0.4966,5.6675,0.25503
0.34487,6,-0.044134
0.34487,6,-0.044133
0.34487,6,-0.044133
0.3339,5.9856,0.0046672
0.34415,5.994,0.013019
0.34426,5.9972,0.010743
0.51241,5.5469,0.25011
0.34872,5.9982,0.010987
0.34432,5.9974,0.010851
0.34411,5.9988,-0.047003
0.34252,5.9919,0.011608
0.31462,5.6353,0.089107
0.36129,5.3462,0.16453
0.32113,5.922,0.076524
0.34421,5.9994,-0.045592
0.34491,5.9998,-0.044026
0.34501,5.9999,-0.043867
0.30822,5.8128,0.094696
0.34502,6,-0.043847
0.34502,6,-0.043848
0.32442,5.8402,0.11098
0.36465,5.4624,0.14088
0.47348,5.192,0.27764
0.34502,6,-0.043847
0.32927,5.9529,0.074059
0.34501,6,-0.043854
0.3904,5.9173,0.14591
0.34133,5.976,0.014058
0.34502,6,-0.043852
0.32286,5.8999,0.08429
0.43872,5.6681,0.21173
0.41704,5.8791,0.18389
0.34502,6,-0.043848
0.34502,6,-0.043848
0.33127,5.8872,0.10289
0.34502,6,-0.043848
0.44565,5.5144,0.20499
0.37412,5.7658,0.17287
0.51305,5.9037,0.24425
0.51688,5.9505,0.18121
0.32389,5.8819,0.093885
0.34,5.9698,0.0088846
0.41044,5.9724,0.075701
0.34502,6,-0.043848
0.45817,5.9829,0.18399
0.33215,5.8708,0.10864
0.45113,5.273,0.25484
0.31719,5.9517,0.060945
0.34502,6,-0.043849
0.35046,5.7826,0.14004
0.34502,6,-0.043849
0.34502,6,-0.043849
0.34502,6,-0.043849
0.34502,6,-0.043849
0.34502,6,-0.043849
0.34502,6,-0.043849
0.32054,5.7668,0.11319
0.34116,5.6962,0.13137
0.39579,5.9654,0.064372
0.32585,5.8805,0.096395
0.43162,5.7878,0.21718
0.33278,5.9959,-0.0052753
0.33304,5.9968,-0.059666
0.32929,5.9092,0.089099
0.33388,5.9978,-0.058753
0.33403,5.9993,-0.058759
0.32056,5.8763,0.094673
0.31391,5.9311,0.065328
0.33404,5.9997,-0.05875
0.32557,5.9565,0.073843
0.32113,5.4802,0.094782
0.31038,5.6651,0.090304
0.33784,5.9621,0.009184
0.33721,5.967,0.0073763
0.35998,5.9907,0.02284
0.31843,5.8245,0.11201
0.33386,5.9657,0.0033643
0.43279,5.5727,0.19395
0.34059,5.9768,0.013739
0.32134,5.8946,0.085892
0.34642,5.9503,0.020805
0.34651,5.9839,0.011513
0.33478,5.4426,0.11783
0.34624,5.9876,0.010803
0.34548,5.9942,0.012264
0.33008,5.8664,0.10977
0.3457,5.9949,0.013648
0.50766,5.4577,0.26015
0.33609,5.9411,0.012206
0.32401,5.8861,0.095344
0.3865,5.7776,0.17701
0.39269,5.8596,0.17101
0.42916,5.8276,0.21757
0.39085,5.9125,0.15131
0.34936,5.5322,0.062956
0.36277,5.5089,0.13484
0.32199,5.3618,0.12922
0.37563,5.262,0.18813
0.32934,5.7438,0.12691
0.32698,5.8522,0.10602
0.35597,5.9394,0.029188
0.35368,5.7343,0.14675
0.3606,5.9554,0.033749
0.41541,5.8525,0.18648
0.35489,5.9419,0.02998
0.35553,5.9492,0.028146
0.35572,5.9501,0.028534
0.34289,5.8735,0.11442
0.36031,5.9712,0.034592
0.35044,5.9834,0.023416
0.35169,5.9902,0.018511
0.33585,5.9866,0.0056552
0.33508,5.9913,0.00066028
0.38916,5.9647,0.058501
0.37914,5.9802,0.0433
0.37583,5.9906,0.043143
0.42633,5.9954,0.084609
0.36866,5.962,0.038618
0.35969,5.9821,0.029094
0.35924,5.9657,0.029177
0.35902,5.9719,0.032151
0.36291,5.174,0.19438
0.36663,5.3906,0.16638
0.36182,5.9818,0.031327
0.53318,5.2996,0.303
0.36795,5.9918,0.030822
0.36704,5.9963,-0.019951
