x,y,rob
0.35558,5.0942,0.99277
0.34455,5.1082,0.99845
0.31398,5.1888,0.98968
0.39599,5.0555,1.0016
0.31666,5.0874,0.98665
0.30936,5.3795,0.96936
0.30284,5.3692,0.97499
0.41773,5.484,0.98353
0.49167,5.2453,1.0035
0.56542,5.4743,0.99708
0.48785,5.6006,0.98832
0.55718,5.1812,1.0031
0.4749,5.5438,0.98674
0.48511,5.5449,0.98817
0.43098,5.3619,0.99134
0.37685,5.7266,0.95907
0.37708,5.5526,0.97285
0.38938,5.3496,0.9879
0.45686,5.7977,0.96078
0.45502,5.9041,0.95441
0.50017,5.5709,0.9809
0.46824,5.7007,0.97456
0.47352,5.6946,0.96821
0.4719,5.7337,0.96448
0.46309,5.498,0.98884
0.48493,5.721,0.96855
0.40749,5.7446,0.96235
0.42736,5.7275,0.96718
0.51484,5.7937,0.96818
0.55755,5.7777,0.97782
0.53436,5.8408,0.967
0.38806,5.8961,0.94393
0.47494,5.4288,0.99656
0.37337,5.3291,0.98629
0.40384,5.0846,1.0002
0.39438,5.0319,1.0041
0.39462,5.0286,1.0033
0.3611,5.3554,0.97933
0.33025,5.1585,0.98588
0.33089,5.0746,0.99729
0.37052,5.0645,0.99898
0.41625,5.508,0.98583
0.54037,5.6989,0.97899
0.53708,5.693,0.9932
0.54942,5.6405,0.98987
0.55779,5.5878,0.99275
0.58109,5.812,0.97918
0.58322,5.8167,0.97698
0.58692,5.8252,0.98136
0.59341,5.863,0.96969
0.59502,5.8693,0.97198
0.59703,5.8519,0.97931
0.59186,5.8841,0.97428
0.49435,5.273,0.99789
0.56097,5.8946,0.9647
0.55827,5.8821,0.97058
0.56283,5.9102,0.96618
0.56234,5.915,0.97558
0.56545,5.9184,0.97812
0.56322,5.9452,0.97463
0.519,5.4082,1.002
0.5554,5.5868,0.98766
0.46915,5.1769,1.0019
0.33941,5.8284,0.95318
0.34254,5.8969,0.94303
0.40218,5.545,0.97828
0.33642,5.962,0.9528
0.33595,5.961,0.94084
0.3181,5.952,0.93791
0.31185,5.9703,0.93036
0.33191,5.5497,0.97614
0.31692,5.9713,0.93847
0.31658,5.9798,0.95038
0.34278,5.2325,0.99116
0.3056,5.8713,0.93501
0.30394,5.8687,0.93439
0.49604,5.6879,0.97205
0.30385,5.9153,0.92797
0.3028,5.912,0.9343
0.30167,5.9068,0.93062
0.30183,5.3012,0.97647
0.30562,5.9538,0.93079
0.30203,5.9425,0.93744
0.30043,5.5157,0.95913
0.30183,5.9843,0.93206
0.30095,5.9954,0.9435
0.30045,5.9961,0.93778
0.37934,5.7842,0.95333
0.42876,5.8912,0.94791
0.35965,5.6341,0.96961
0.36749,5.7,0.95784
0.31854,5.4923,0.96348
0.33649,5.3649,0.97938
0.54715,5.4984,0.99623
0.35745,5.4986,0.97364
0.42169,5.5017,0.98222
0.38422,5.3029,0.98593
0.3227,5.4351,0.97734
0.3301,5.2926,0.9791
0.41832,5.3302,0.99644
0.37935,5.0311,1.003
0.32435,5.0624,0.99455
0.31856,5.2163,0.98928
0.32197,5.0814,0.99253
0.30965,5.1125,0.98966
0.50958,5.3159,1.0024
0.47801,5.3038,1.0038
0.50999,5.1744,1.0025
0.5476,5.4678,0.99882
0.5849,5.299,1.0063
0.47478,5.2647,1.0014
0.51735,5.3438,0.99824
0.52891,5.378,1.0005
0.5542,5.3616,1.0026
0.50424,5.8612,0.96539
0.45667,5.9001,0.95359
0.45394,5.9397,0.96135
0.45253,5.9716,0.95605
0.43484,5.9927,0.96272
0.43537,5.9935,0.95438
0.54753,5.4733,0.99922
0.4448,5.9989,0.95234
0.50422,5.8547,0.96604
0.44476,5.9994,0.96235
0.42163,5.7173,0.96789
0.44232,5.5843,0.98118
0.51964,5.5787,0.9818
0.33457,5.6444,0.96501
0.34735,5.6179,0.96585
0.4887,5.4302,0.99458
0.37487,5.3589,0.98262
0.52617,5.9015,0.96172
0.52723,5.9098,0.96506
0.53621,5.9391,0.97253
0.56044,5.746,0.9812
0.56402,5.7425,0.97922
0.55563,5.8688,0.97188
0.56238,5.8316,0.99002
0.56477,5.8261,0.97065
0.58842,5.8382,0.98643
0.50387,5.1691,1.0031
0.58807,5.8514,0.96978
0.59286,5.8576,0.97965
0.51981,5.9595,0.96046
0.52201,5.9665,0.95966
0.41583,5.5074,0.98511
0.52565,5.9952,0.9676
0.58046,5.9245,0.9774
0.58034,5.8991,0.96765
0.55182,5.9433,0.96026
0.55046,5.9826,0.96943
0.42403,5.6587,0.97006
0.43262,5.4751,0.98677
0.40994,5.7966,0.95174
0.41497,5.8647,0.9523
0.34173,5.637,0.95794
0.47935,5.4238,0.99257
0.33329,5.4824,0.97207
0.32193,5.4644,0.96589
0.48772,5.1577,1.0027
0.30066,5.5098,0.96638
0.30021,5.5097,0.96122
0.30011,5.5096,0.96602
0.3076,5.4753,0.97227
0.30491,5.4657,0.96655
0.30493,5.471,0.96529
0.30151,5.4599,0.96725
0.31348,5.5485,0.96846
0.30015,5.4723,0.96799
0.59103,5.9294,0.98218
0.3023,5.2178,0.98019
0.50576,5.3282,1.0022
0.31037,5.146,0.98744
0.34561,5.5345,0.96968
0.37771,5.7825,0.95002
0.38201,5.817,0.95018
0.3846,5.7916,0.95283
0.36285,5.7962,0.94244
0.42745,5.7412,0.96278
0.4286,5.9343,0.95866
0.44301,5.9748,0.95476
0.51081,5.937,0.97379
0.45413,5.9747,0.96283
0.3464,5.964,0.95555
0.32125,5.9848,0.93261
0.31776,5.9585,0.94068
0.30942,5.9909,0.94305
0.30862,5.9922,0.93576
0.30765,5.9957,0.93896
0.30721,5.9994,0.9455
0.30768,5.9959,0.94582
0.30825,5.9997,0.93977
0.30821,5.9998,0.94272
0.41904,5.0599,1.0027
0.30574,5.8599,0.93214
0.30882,5.9495,0.93442
0.41548,5.2316,0.99606
0.31057,5.9994,0.94659
0.30505,5.9863,0.94365
0.30374,5.995,0.93891
0.30358,5.9943,0.9417
0.30071,5.9589,0.92941
0.54494,5.7929,0.97609
0.30251,5.9639,0.93052
0.30069,5.9735,0.94175
0.30034,5.9744,0.93429
0.33042,5.9991,0.93336
0.3301,5.9998,0.93212
0.33031,6,0.94077
0.33021,6,0.93287
0.33005,6,0.93175
0.33004,6,0.93989
0.30679,5.9954,0.94536
0.31539,5.9613,0.93467
0.31224,5.9635,0.93891
0.31504,5.9838,0.94395
0.31196,5.9817,0.94615
0.37347,5.8696,0.94978
0.36627,5.8226,0.95557
0.4032,5.9049,0.94776
0.42179,5.9824,0.96152
0.32802,5.8395,0.9502
0.32021,5.8067,0.93318
0.31024,5.8202,0.9485
0.38539,5.4314,0.98376
0.31487,5.8574,0.93401
0.33765,5.9391,0.94555
0.31738,5.8726,0.93569
0.3156,5.872,0.93763
0.30485,5.8773,0.93618
0.30287,5.8883,0.93136
0.5432,5.8191,0.982
0.30125,5.8792,0.93468
0.30109,5.8782,0.93601
0.39312,5.8394,0.96111
0.36808,5.9137,0.95158
0.49159,5.8951,0.96478
0.34472,5.6793,0.96951
0.48443,5.1166,1.004
0.31758,5.826,0.95166
0.30982,5.8357,0.94973
0.31528,5.6177,0.963
0.43479,5.8887,0.957
0.43842,5.9289,0.95964
0.33073,5.4878,0.97434
0.43793,5.9694,0.95442
0.4351,5.9819,0.95358
0.43416,5.9939,0.96223
0.4327,5.9906,0.96436
0.46503,5.9451,0.95473
0.49728,5.9231,0.96689
0.42161,5.4513,0.98165
0.53915,5.8205,0.97622
0.43295,5.9016,0.94972
0.45577,5.9166,0.95862
0.4499,5.7793,0.96026
0.51226,5.8524,0.97345
0.46961,5.9697,0.96302
0.46778,5.9853,0.96237
0.33686,5.5415,0.96781
0.4682,5.997,0.96216
0.46725,5.999,0.96084
0.46725,5.999,0.96185
0.46723,5.9991,0.96127
0.54852,5.5125,0.99561
0.51302,5.9939,0.96697
0.46746,5.9997,0.95398
0.46742,6,0.96185
0.46743,6,0.96262
0.53865,5.717,0.97788
0.56479,5.76,0.97406
0.54518,5.8119,0.97463
0.52691,5.9196,0.97623
0.54563,5.9798,0.97158
0.53021,5.2683,1.0029
0.54518,5.9859,0.96652
0.54404,5.9959,0.96145
0.54726,5.9985,0.96041
0.58293,5.9402,0.97697
0.59502,5.724,0.9813
0.54715,5.9988,0.9607
0.54692,5.9999,0.9623
0.55912,5.9651,0.97436
0.54681,6,0.96143
0.48978,5.8334,0.97086
0.43689,5.8554,0.95469
0.48404,5.9333,0.96488
0.44841,5.8353,0.96536
0.32116,5.3762,0.97223
0.36503,5.8935,0.94631
0.36665,5.9776,0.95536
0.47014,5.9605,0.95435
0.32203,5.9947,0.94312
0.3009,5.9671,0.93783
0.32471,5.9989,0.94702
0.43172,5.4772,0.98321
0.30074,5.9671,0.93081
0.30123,5.9725,0.94306
0.30013,5.9667,0.93652
0.52978,5.6777,0.98012
0.30273,5.9915,0.94669
0.30158,5.9797,0.94408
0.30538,5.9906,0.94396
0.3032,5.9901,0.94335
0.30246,5.9946,0.9468
0.33587,5.4734,0.97262
0.30483,5.9986,0.94465
0.30484,5.9986,0.94078
0.41623,5.2059,0.99792
0.30304,5.9637,0.93779
0.35595,5.9846,0.95186
0.30064,5.9616,0.93663
0.30001,5.9605,0.92939
0.5343,5.9117,0.97658
0.3,5.9606,0.92871
0.3,5.9606,0.92848
0.41834,5.522,0.98136
0.44839,5.7757,0.96418
0.3,5.9606,0.92854
0.35374,5.6955,0.9505
0.3,5.9606,0.92854
0.3,5.9606,0.92854
0.3,5.9606,0.92854
0.3,5.9606,0.92854
0.30796,5.9731,0.93642
0.32728,5.9869,0.95214
0.44156,5.8823,0.95829
0.35896,5.8501,0.94854
0.30779,5.9731,0.93657
0.30064,5.9713,0.94203
0.35017,5.6499,0.96007
0.37193,5.8697,0.94866
0.30004,5.9699,0.93562
0.30003,5.9699,0.93726
0.30677,5.9799,0.93716
0.31603,5.995,0.94461
0.33873,5.784,0.95
0.31613,5.8978,0.92949
0.32946,5.9774,0.94932
0.32201,5.9594,0.93363
0.3177,5.9145,0.93789
0.3102,5.8955,0.92843
0.31402,5.9401,0.94138
0.30897,5.8941,0.92833
0.3089,5.8945,0.92792
0.30253,5.9209,0.933
0.30519,5.953,0.93226
0.30785,5.8921,0.93325
0.30453,5.8806,0.93563
0.41482,5.9741,0.96035
0.30905,5.9085,0.93209
0.30867,5.9096,0.93548
0.45867,5.9721,0.9632
0.31697,5.9872,0.94598
0.53612,5.1389,1.0026
0.31172,5.9653,0.93847
0.58081,5.5942,0.99328
0.30432,5.9374,0.94087
0.31064,5.92,0.94046
0.31919,5.8203,0.94937
0.36405,5.9781,0.95003
0.30219,5.8838,0.93491
0.30125,5.8781,0.93477
0.30044,5.881,0.93491
0.30015,5.938,0.93841
0.3004,5.8812,0.93481
0.30609,5.9332,0.94078
0.30534,5.9337,0.93763
0.30783,5.967,0.93348
0.30711,5.9659,0.93922
0.30759,5.9664,0.93919
0.30628,5.9645,0.93275
0.30081,5.972,0.92885
0.30482,5.9817,0.9412
0.54051,5.9269,0.97817
0.30696,5.9983,0.94534
0.3007,5.9757,0.93416
0.30029,5.9717,0.94238
0.30402,5.9934,0.94135
0.30017,5.9715,0.93713
0.30087,5.9897,0.94399
0.30587,5.976,0.94387
0.30357,5.9842,0.93237
0.30114,5.9555,0.93504
0.50094,5.9061,0.95827
0.30649,5.9878,0.94391
0.41729,5.8376,0.96208
0.30081,5.976,0.9332
0.30009,5.977,0.94094
0.51627,5.4454,1.0012
0.30036,5.976,0.9324
0.3509,5.6452,0.96419
0.3037,5.9925,0.94441
0.30367,5.9943,0.94763
0.42244,5.1906,1.0041
0.30734,5.8758,0.93609
0.30227,5.8891,0.9334
0.30275,5.8902,0.93188
0.30271,5.8899,0.93187
0.30047,5.8544,0.93033
0.30019,5.8543,0.93102
0.53085,5.1748,1.0029
0.30044,5.8546,0.93069
0.30024,5.8555,0.93818
0.30013,5.8548,0.93076
0.30005,5.8546,0.93055
0.30245,5.8911,0.93155
0.30498,5.905,0.93507
0.35079,5.9701,0.93987
0.3542,5.4406,0.97138
0.30876,5.9527,0.93278
0.32239,5.9725,0.93638
0.30623,5.9872,0.94529
0.34211,5.9786,0.94673
0.32284,5.9756,0.94047
0.35214,5.8537,0.94036
0.3059,5.3987,0.96786
0.37548,5.8666,0.95012
0.34347,5.8877,0.93702
0.33583,5.8286,0.93648
0.30938,5.8998,0.92812
0.30655,5.8972,0.93225
0.32243,5.1437,0.98437
0.30662,5.9034,0.92678
0.32342,5.9201,0.94572
0.42554,5.8663,0.95763
0.30118,5.8973,0.93034
0.30276,5.8945,0.93181
0.30213,5.8963,0.93136
0.30132,5.9049,0.92422
0.30138,5.9498,0.93417
0.30042,5.9022,0.92501
0.30432,5.9642,0.94622
0.40525,5.8051,0.95581
0.41938,5.8849,0.95537
0.30006,5.9025,0.92564
0.30001,5.9023,0.9259
0.30579,5.9409,0.9378
0.34406,5.8347,0.95018
0.40193,5.5528,0.98488
0.30001,5.9023,0.92554
0.35904,5.7262,0.95791
0.32807,5.9244,0.94593
0.3,5.9023,0.926
0.3,5.9023,0.92586
0.34181,5.19,0.98835
0.37222,5.3549,0.98278
0.3,5.9023,0.9259
0.3,5.9023,0.92514
0.3,5.9023,0.92488
0.3,5.9023,0.92576
0.32118,5.7788,0.94376
0.32682,5.2364,0.98867
0.30295,5.5358,0.96392
0.30192,5.9654,0.93688
0.3,5.9023,0.92488
0.31473,5.9428,0.92971
0.3,5.9023,0.92526
0.30412,5.9268,0.94228
0.3,5.9023,0.92488
0.34571,5.7835,0.94986
0.3,5.9023,0.92488
0.3,5.9023,0.92488
0.3,5.9023,0.92488
0.3,5.9023,0.92488
0.3,5.9023,0.92478
0.32626,5.8534,0.94415
0.31747,5.8671,0.93639
0.37019,5.6585,0.96342
0.3465,5.8578,0.94032
0.3,5.9023,0.92478
0.53213,5.1026,1.005
0.30018,5.8996,0.92554
0.30015,5.899,0.92535
0.30013,5.8991,0.92565
0.30007,5.8992,0.92555
0.30007,5.8992,0.92555
0.30104,5.9316,0.94152
0.30004,5.8992,0.92533
0.30003,5.8992,0.92499
0.5505,5.9642,0.97488
0.30003,5.8992,0.92528
0.32307,5.859,0.9358
0.49306,5.4785,0.99192
0.30002,5.8992,0.92492
0.31871,5.9539,0.94335
0.30185,5.8524,0.93816
0.32973,5.7494,0.94445
0.50368,5.4058,0.99807
0.30001,5.8998,0.92592
0.3,5.8998,0.92627
0.3,5.8998,0.92616
0.3,5.8998,0.92565
0.31767,5.9732,0.93089
0.3,5.8998,0.92616
0.30214,5.9079,0.93076
0.31523,5.8044,0.94039
0.33879,5.9757,0.95278
0.30077,5.9159,0.93306
0.30308,5.9533,0.93372
0.30287,5.9536,0.93416
0.37057,5.5834,0.97599
0.31219,5.77,0.94108
0.30842,5.749,0.93812
0.30436,5.7748,0.93645
0.51147,5.6576,0.98121
0.30333,5.7746,0.93712
0.36603,5.2504,0.99025
0.34747,5.5074,0.97363
0.30222,5.7683,0.93717
0.301,5.7629,0.9387
0.34653,5.9098,0.94548
0.30781,5.8931,0.92903
0.30908,5.8907,0.92872
0.32521,5.9559,0.93937
0.32028,5.9902,0.94986
0.33625,5.9624,0.93697
0.51923,5.4374,1.0019
0.50012,5.6161,0.98764
0.33517,5.9743,0.95289
0.32909,5.9515,0.93956
0.33179,5.967,0.94204
0.32202,5.9684,0.93759
0.31383,5.9411,0.93455
0.40382,5.9242,0.95685
0.30793,5.9397,0.94027
0.3331,5.9533,0.94388
0.33705,5.992,0.95173
0.3377,5.506,0.97263
0.32994,5.9866,0.94177
0.31512,5.9596,0.93244
0.30835,5.9731,0.93821
0.30267,5.9753,0.94232
0.39374,5.8612,0.94998
0.30493,5.9182,0.93309
0.30287,5.9152,0.93431
0.30084,5.9403,0.93712
0.30646,5.9564,0.93622
0.54353,5.2775,1.0053
0.42801,5.3841,0.99345
0.30977,5.9644,0.94143
0.30813,5.9762,0.93699
0.53947,5.8609,0.96767
0.30422,5.9686,0.93849
0.30894,5.9793,0.9385
0.30962,5.9842,0.94077
0.30671,5.9801,0.94909
0.3038,5.8828,0.92687
0.30208,5.8799,0.9346
0.30174,5.8979,0.93046
0.30129,5.8973,0.93026
0.30082,5.901,0.92524
0.30066,5.9005,0.92582
0.41528,5.9631,0.95147
0.34141,5.9835,0.95597
0.30017,5.7848,0.94128
0.45245,5.8586,0.95692
0.30059,5.9007,0.9251
0.30038,5.901,0.92642
0.30005,5.9132,0.9332
0.36728,5.7313,0.95245
0.34942,5.9695,0.94079
0.30193,5.9225,0.94314
0.37511,5.8721,0.95173
0.30001,5.9132,0.92496
0.3,5.9132,0.9332
0.3,5.9133,0.93314
0.30152,5.9516,0.93327
0.31219,5.1538,0.98469
0.30001,5.9132,0.93291
0.3,5.9132,0.93287
0.36138,5.9556,0.94554
0.37379,5.9473,0.95079
0.3,5.9132,0.92506
0.48578,5.1266,1.0005
0.39415,5.9399,0.95164
0.3,5.9132,0.92505
0.3,5.9132,0.93343
0.30077,5.9195,0.94218
0.30182,5.9446,0.93917
0.3016,5.9195,0.94287
0.3,5.9132,0.92575
0.3,5.9132,0.93323
0.37109,5.8575,0.94545
0.3,5.9132,0.92585
0.3,5.9132,0.93323
0.3169,5.9632,0.94254
0.3,5.9132,0.93343
0.37388,5.3924,0.98565
0.31584,5.8421,0.93958
0.3,5.9132,0.93323
0.30247,5.9431,0.93759
0.54551,5.9692,0.97043
0.30063,5.9469,0.94332
0.30092,5.9272,0.9418
0.31355,5.9614,0.93863
0.3172,5.9664,0.93752
0.31276,5.9843,0.9439
0.32448,5.9798,0.94973
0.31973,5.9814,0.93824
0.31897,5.994,0.94267
0.53479,5.6675,0.98233
0.31872,5.9929,0.94294
0.31138,5.9922,0.94309
0.30278,5.9832,0.93165
0.30567,5.9947,0.94496
0.30079,5.9807,0.94797
0.31164,5.9892,0.94385
0.33597,5.4067,0.97408
0.35394,5.8736,0.9473
0.3146,5.9985,0.93258
0.30446,5.9824,0.94067
